,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
226,US,WSI Industries,WSCI,6.99,,,,,,,17.923,,20769408.0
227,US,WillScot Mobile,WSC,41.1,-0.49,-1.1782,-7.64,1063416.0,43836770.0,0.56,16.441,,7833590500.0
228,US,沃特财务,WSBF,11.32,0.2,1.7986,-18.35,77174.0,867942.0,0.39,24.049,6.07,225458663.0
229,US,韦斯银行,WSBC,27.5,-0.05,-0.1815,-11.26,102356.0,2808650.0,0.17,10.268,5.151,1632931218.0
230,US,沃辛顿钢铁,WS,34.81,-0.37,-1.0517,24.53,121546.0,4228628.0,0.25,13.711,0.455,1715941336.0
231,US,Wrap技术,WRTC,5.75,,,,,,,,,213964498.0
232,US,Warrantee,WRNT,0.3506,-0.0434,-11.0152,6.31,67127.0,23328.0,0.3,29.15,,7854842.0
233,US,西方铜金,WRN,1.535,-0.03,-1.9169,15.41,503170.0,784107.0,0.3,,,259244927.0
234,US,Pensare Acquisition Corp. - Unit,WRLSU,3.7814,,,,,,,0.0,,0.0
235,US,Pensare Acquisition,WRLS,2.68,,,,,,,,,21260378.0
236,US,环球验收,WRLD,134.76,-5.28,-3.7704,3.24,20777.0,2813103.0,0.34,12.245,,819377994.0
237,US,WestRock,WRK,47.99,-1.15,-2.34,16.47,2840855.0,136654558.0,1.11,,2.346,12331833421.0
238,US,Elme Communities,WRE,17.57,,,,,,,193.774,3.8400426806168544,1535659904.0
239,US,Wildhorse Resource,WRD,16.97,,,,,,,,,1727441719.0
240,US,Warby Parker,WRBY,13.22,-0.32,-2.3634,-6.24,837354.0,11077171.0,0.71,,,1562112163.0
241,US,WR柏克利,WRB,82.15,-0.04,-0.0487,16.32,1042422.0,85534538.0,0.41,15.257,1.761,21075473158.0
242,US,W.R. Berkley Corporation 5.625% Subordinated Debentures due 2053,WRB-B,25.33,,,,,,,0.0,5.55523,354620000.0
243,US,W.R. Berkley Corporation 5.900% Subordinated Debentures due 2056,WRB-C,25.0,,,,,,,0.0,5.5534,110000000.0
244,US,Wrap Technologies,WRAP,2.01,-0.04,-1.95,-35.16,276096.0,553583.0,0.62,,,88870480.0
245,US,WILM RWLD AQ WNT,WRAC+,0.0016,,,,,,,,,
246,US,西星能源,WR,54.0,,,,,,,23.789,,7680589344.0
247,US,Williams Partners,WPZ,47.37,,,,,,,66.718,,45391164625.0
248,US,WPX能源 优先A,WPXP,76.25,,,,,,,,,366000000.0
249,US,WPX能源,WPX,9.43,,,,,,,,,5290628983.0
250,US,西港燃料,WPRT,5.86,-0.03,-0.5093,-11.48,74607.0,441324.0,0.43,,0.0,100927682.0
251,US,WPP PLC,WPP,47.49,-0.9,-1.8599,-0.17,673651.0,32129004.0,0.31,74.408,4.982,10244103328.0
252,US,Wheaton Precious Metals,WPM,51.8,-0.82,-1.56,5.33,3833282.0,201938922.0,0.85,43.673,1.15,23480600244.0
253,US,Washington Prime,WPG,0.8323,,,,,,,,,20357763.0
